match_id,weather_source,weather_condition,rain_flag,precipitation_mm,temperature_c,apparent_temperature_c,humidity_percent,dew_point_c,wind_speed_kmh,wind_gust_kmh,cloud_cover_percent,pressure_hpa,heat_index_c,wet_bulb_temperature_c,feels_like_temperature_c,wbgt_c,cooling_break_flag,cooling_break_count,heat_index_bucket,wet_bulb_bucket,temperature_bucket,humidity_bucket
WC2026-001,Open-Meteo Archive API (archive-api.open-meteo.com),Light Rain,1.0,0.3,16.8,18.3,90.0,15.1,1.5,19.8,41.0,783.8,16.8,15.62,18.3,15.97,0.0,0.0,Low,Low,Low,High
WC2026-002,Open-Meteo Archive API (archive-api.open-meteo.com),Light Rain,1.0,0.3,24.5,24.9,55.0,14.9,8.7,21.6,38.0,835.4,24.5,18.32,24.9,20.17,0.0,0.0,Low,Medium,Medium,Medium
WC2026-003,Open-Meteo Archive API (archive-api.open-meteo.com),Clear,0.0,0.0,26.0,23.9,41.0,11.6,17.9,42.8,24.0,998.1,26.0,17.37,23.9,19.96,0.0,0.0,Low,Low,Medium,Low
WC2026-004,Open-Meteo Archive API (archive-api.open-meteo.com),Clear,0.0,0.0,27.4,28.8,46.0,14.8,13.4,40.0,5.0,1004.8,28.59,19.39,28.8,21.79,0.0,0.0,Medium,Medium,Medium,Low
WC2026-005,Open-Meteo Archive API (archive-api.open-meteo.com),Clear,0.0,0.0,31.1,32.1,33.0,12.8,11.8,31.7,13.0,1010.8,31.1,19.88,32.1,23.25,0.0,0.0,Medium,Medium,High,Low
WC2026-006,Open-Meteo Archive API (archive-api.open-meteo.com),Clear,0.0,0.0,28.5,29.3,36.0,11.9,12.7,36.0,0.0,999.6,28.5,18.46,29.3,21.47,0.0,0.0,Medium,Medium,Medium,Low
WC2026-007,Open-Meteo Archive API (archive-api.open-meteo.com),Partly Cloudy,0.0,0.0,23.0,23.7,49.0,11.9,12.0,32.8,41.0,1020.6,23.0,16.13,23.7,18.19,0.0,0.0,Low,Low,Medium,Low
WC2026-008,Open-Meteo Archive API (archive-api.open-meteo.com),Clear,0.0,0.0,25.8,24.7,46.0,13.2,14.8,37.8,0.0,1009.2,25.8,18.04,24.7,20.37,0.0,0.0,Low,Medium,Medium,Low
WC2026-009,Open-Meteo Archive API (archive-api.open-meteo.com),Light Rain,1.0,0.2,30.4,37.0,76.0,25.7,9.7,29.9,100.0,1012.2,40.6,26.9,37.0,27.95,0.0,0.0,High,High,High,High
WC2026-010,Open-Meteo Archive API (archive-api.open-meteo.com),Partly Cloudy,0.0,0.0,30.5,31.8,44.0,16.8,16.2,41.4,77.0,1011.3,31.81,21.63,31.8,24.29,0.0,0.0,Medium,Medium,High,Low
WC2026-011,Open-Meteo Archive API (archive-api.open-meteo.com),Clear,0.0,0.0,27.8,30.4,72.0,22.4,17.3,39.6,27.0,992.4,33.13,23.84,30.4,25.03,0.0,0.0,Medium,Medium,Medium,High
WC2026-012,Open-Meteo Archive API (archive-api.open-meteo.com),Light Rain,1.0,0.2,25.5,30.1,85.0,22.7,4.4,13.0,99.0,956.2,25.5,23.5,30.1,24.1,0.0,0.0,Low,Medium,Medium,High
WC2026-013,Open-Meteo Archive API (archive-api.open-meteo.com),Overcast,0.0,0.0,26.1,28.2,54.0,16.1,11.2,31.7,89.0,979.1,26.1,19.57,28.2,21.53,0.0,0.0,Low,Medium,Medium,Medium
WC2026-014,Open-Meteo Archive API (archive-api.open-meteo.com),Partly Cloudy,0.0,0.0,27.5,29.5,38.0,12.1,1.8,15.8,52.0,1016.7,27.5,18.05,29.5,20.88,0.0,0.0,Medium,Medium,Medium,Low
WC2026-015,Open-Meteo Archive API (archive-api.open-meteo.com),Light Rain,1.0,0.3,31.6,34.7,54.0,21.4,10.6,25.9,89.0,1014.4,36.04,24.39,34.7,26.55,0.0,0.0,High,Medium,High,Medium
WC2026-016,Open-Meteo Archive API (archive-api.open-meteo.com),Clear,0.0,0.0,21.9,21.6,63.0,14.6,12.2,38.5,1.0,1009.1,21.9,17.12,21.6,18.55,0.0,0.0,Low,Low,Medium,Medium
WC2026-017,Open-Meteo Archive API (archive-api.open-meteo.com),Partly Cloudy,0.0,0.0,23.1,20.3,40.0,8.9,17.3,42.1,55.0,1008.4,23.1,14.84,20.3,17.32,0.0,0.0,Low,Low,Medium,Low
WC2026-018,Open-Meteo Archive API (archive-api.open-meteo.com),Clear,0.0,0.0,23.8,23.0,36.0,7.6,11.3,30.2,25.0,998.1,23.8,14.74,23.0,17.46,0.0,0.0,Low,Low,Medium,Low
WC2026-019,Open-Meteo Archive API (archive-api.open-meteo.com),Overcast,0.0,0.0,26.7,28.0,42.0,12.6,1.9,14.0,91.0,977.9,27.63,18.12,28.0,20.69,0.0,0.0,Medium,Medium,Medium,Low
WC2026-020,Open-Meteo Archive API (archive-api.open-meteo.com),Clear,0.0,0.0,22.7,21.5,52.0,12.4,13.2,35.3,11.0,1011.9,22.7,16.31,21.5,18.23,0.0,0.0,Low,Low,Medium,Medium
WC2026-021,Open-Meteo Archive API (archive-api.open-meteo.com),Partly Cloudy,0.0,0.0,30.0,34.5,70.0,24.0,12.3,37.1,44.0,1000.2,37.49,25.6,34.5,26.92,0.0,0.0,High,High,High,High
WC2026-022,Open-Meteo Archive API (archive-api.open-meteo.com),Clear,0.0,0.0,32.8,35.4,53.0,22.0,20.6,46.1,7.0,980.0,38.16,25.26,35.4,27.52,0.0,0.0,High,High,High,Medium
WC2026-023,Open-Meteo Archive API (archive-api.open-meteo.com),Light Rain,1.0,0.1,20.4,20.8,65.0,13.6,15.2,40.7,98.0,993.9,20.4,16.01,20.8,17.33,0.0,0.0,Low,Low,Medium,Medium
WC2026-024,Open-Meteo Archive API (archive-api.open-meteo.com),Light Rain,1.0,0.2,17.9,19.3,82.0,14.7,1.1,13.0,100.0,786.2,17.9,15.75,19.3,16.39,0.0,0.0,Low,Low,Low,High
WC2026-025,Open-Meteo Archive API (archive-api.open-meteo.com),Rain,1.0,3.0,22.2,25.7,97.0,21.7,8.8,36.7,100.0,976.3,22.2,21.84,25.7,21.95,0.0,0.0,Low,Medium,Medium,High
WC2026-026,Open-Meteo Archive API (archive-api.open-meteo.com),Light Rain,1.0,0.8,21.2,21.9,73.0,16.1,9.7,31.3,86.0,838.0,21.2,17.79,21.9,18.81,0.0,0.0,Low,Low,Medium,High
WC2026-027,,,,,,,,,,,,,,,,,,,,,,
WC2026-028,,,,,,,,,,,,,,,,,,,,,,
WC2026-029,,,,,,,,,,,,,,,,,,,,,,
WC2026-030,,,,,,,,,,,,,,,,,,,,,,
WC2026-031,,,,,,,,,,,,,,,,,,,,,,
WC2026-032,,,,,,,,,,,,,,,,,,,,,,
WC2026-033,Open-Meteo Archive API (archive-api.open-meteo.com),Partly Cloudy,0.0,0.0,22.9,20.9,39.0,8.1,10.5,26.6,54.0,999.1,22.9,14.52,20.9,17.03,0.0,0.0,Low,Low,Medium,Low
WC2026-034,,,,,,,,,,,,,,,,,,,,,,
WC2026-035,,,,,,,,,,,,,,,,,,,,,,
WC2026-036,Open-Meteo Archive API (archive-api.open-meteo.com),Clear,0.0,0.0,23.5,28.2,96.0,22.7,4.1,13.7,40.0,955.1,23.5,23.01,28.2,23.16,0.0,0.0,Low,Medium,Medium,High
WC2026-037,Open-Meteo Archive API,Light Rain,1.0,0.2,26.5,30.4,69.0,20.2,4.7,16.6,91.0,979.3,26.5,22.19,30.4,23.48,0.0,0.0,Low,Medium,Medium,Medium
